sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon
ACC0001,TRIP001,06-02-2024 06:28,0,0.993,-2.905,9.555,2.7,18.46873,73.82911
ACC0002,TRIP001,06-02-2024 06:28,38,0.016,-3.469,9.592,6.7,18.49363,73.77775
ACC0003,TRIP001,06-02-2024 06:29,76,0.081,-0.3,9.782,13.6,18.63948,73.76986
ACC0004,TRIP001,06-02-2024 06:29,114,-0.277,0.003,9.728,13.8,18.53296,73.95226
ACC0005,TRIP001,06-02-2024 06:30,152,0.556,0.61,9.667,17.4,18.4077,73.88954
ACC0006,TRIP001,06-02-2024 06:31,190,-0.208,0.251,9.583,18.5,18.55218,73.79094
ACC0007,TRIP001,06-02-2024 06:31,228,-1.986,-0.065,10.085,37.5,18.47521,73.83177
ACC0008,TRIP001,06-02-2024 06:32,266,0.423,0.164,9.694,29.9,18.45051,73.83278
ACC0009,TRIP001,06-02-2024 06:33,304,-0.421,0.124,9.536,36.4,18.50355,73.93285
ACC0010,TRIP001,06-02-2024 06:33,342,-0.387,4.648,9.545,33.3,18.49877,73.904
ACC0011,TRIP001,06-02-2024 06:34,380,0.029,-0.063,9.587,23.2,18.55517,73.94522
ACC0012,TRIP001,06-02-2024 06:34,418,-0.218,0.228,9.465,39.1,18.49259,73.80724
ACC0013,TRIP001,06-02-2024 06:35,456,0.313,-0.287,9.868,21.1,18.66495,73.8379
ACC0014,TRIP001,06-02-2024 06:36,494,-0.377,0.882,9.924,29.9,18.4575,73.87138
ACC0015,TRIP001,06-02-2024 06:36,532,1.277,0.524,9.719,20.5,18.47604,73.8956
ACC0016,TRIP001,06-02-2024 06:37,570,1.066,-0.437,9.76,38.8,18.44267,73.86119
ACC0017,TRIP001,06-02-2024 06:38,608,0.22,-0.541,9.635,31.4,18.51856,73.83379
ACC0018,TRIP001,06-02-2024 06:38,646,0.376,0.377,9.639,25.8,18.53095,73.76629
ACC0019,TRIP001,06-02-2024 06:39,684,0.4,0.216,9.892,33,18.42801,73.8764
ACC0020,TRIP001,06-02-2024 06:40,722,0.502,0.015,9.833,29.2,18.55128,73.85004
ACC0021,TRIP001,06-02-2024 06:40,760,0.862,0.689,9.829,12.8,18.56114,73.90648
ACC0022,TRIP001,06-02-2024 06:41,798,-0.126,0.109,9.849,39.1,18.47196,73.88455
ACC0023,TRIP001,06-02-2024 06:41,836,0.453,0.288,9.648,33.8,18.48316,73.83483
ACC0024,TRIP001,06-02-2024 06:42,874,0.927,-0.399,9.438,29.4,18.5302,73.80865
ACC0025,TRIP001,06-02-2024 06:43,912,0.797,-0.057,9.746,26.3,18.56255,73.8887
ACC0026,TRIP001,06-02-2024 06:43,950,0.299,0.617,9.779,23.9,18.56209,73.81108
ACC0027,TRIP001,06-02-2024 06:44,988,1.014,0.316,9.731,39.1,18.56361,73.84715
ACC0028,TRIP001,06-02-2024 06:45,1026,0.923,-0.025,9.577,31.1,18.47684,73.77464
ACC0029,TRIP001,06-02-2024 06:45,1064,-4.468,0.77,9.375,35,18.50759,73.8715
ACC0030,TRIP001,06-02-2024 06:46,1102,0.56,-0.225,9.74,13.6,18.55795,73.91803
ACC0031,TRIP001,06-02-2024 06:47,1140,-0.282,-0.662,9.647,23.2,18.45363,73.88983
ACC0032,TRIP001,06-02-2024 06:47,1178,-0.245,-0.022,9.914,25.8,18.52505,73.8985
ACC0033,TRIP001,06-02-2024 06:48,1216,0.419,0.259,9.606,20.2,18.4929,73.89341
ACC0034,TRIP001,06-02-2024 06:48,1254,-1.35,0.676,9.09,33.6,18.58356,73.85243
ACC0035,TRIP001,06-02-2024 06:49,1292,-0.256,0.611,9.316,17.8,18.52991,73.80905
ACC0036,TRIP001,06-02-2024 06:50,1330,-0.21,0.546,9.846,24.7,18.51286,73.82588
ACC0037,TRIP001,06-02-2024 06:50,1368,-0.41,0.842,9.693,39.1,18.49955,73.82933
ACC0038,TRIP001,06-02-2024 06:51,1406,0.457,-0.291,9.264,19.3,18.44364,73.83218
ACC0039,TRIP001,06-02-2024 06:52,1444,-0.123,1,9.711,22.2,18.44534,73.83746
ACC0040,TRIP001,06-02-2024 06:52,1482,-0.215,0.563,9.459,31,18.50523,73.87875
ACC0041,TRIP001,06-02-2024 06:53,1520,-4.232,0.106,9.553,24.3,18.53047,73.84938
ACC0042,TRIP001,06-02-2024 06:53,1558,0.258,0.077,9.721,35.5,18.46826,73.90977
ACC0043,TRIP001,06-02-2024 06:54,1596,0.53,0.83,9.798,14.5,18.50762,73.8732
ACC0044,TRIP001,06-02-2024 06:55,1634,-0.072,0.084,9.74,27.3,18.49571,73.80401
ACC0045,TRIP001,06-02-2024 06:55,1672,0.727,0.293,9.893,32.4,18.55599,73.88758
ACC0046,TRIP001,06-02-2024 06:56,1710,0.082,1.086,9.61,28.6,18.55847,73.88536
ACC0047,TRIP001,06-02-2024 06:57,1748,1.074,0.162,9.478,18.3,18.56842,73.80991
ACC0048,TRIP001,06-02-2024 06:57,1786,0.795,0.196,10.018,39.1,18.53611,73.84049
ACC0049,TRIP001,06-02-2024 06:58,1824,0.686,0.206,9.542,33.8,18.53439,73.80721
ACC0050,TRIP001,06-02-2024 06:59,1862,0.739,-0.841,9.741,30.3,18.60367,73.84958
ACC0051,TRIP001,06-02-2024 06:59,1900,0.162,0.245,9.847,27.8,18.58846,73.82494
ACC0052,TRIP001,06-02-2024 07:00,1938,0.954,0.464,10.083,25.7,18.47004,73.82528
ACC0053,TRIP001,06-02-2024 07:00,1976,-4.981,0.241,9.475,21.2,18.59732,74.01824
ACC0054,TRIP001,06-02-2024 07:01,2014,0.432,0.433,9.601,15.2,18.50961,73.8211
ACC0055,TRIP001,06-02-2024 07:02,2040,1.433,0.309,9.776,7.2,18.53136,73.92423
ACC0056,TRIP002,06-02-2024 07:34,0,0.195,-0.363,9.304,2.1,18.52282,73.79169
ACC0057,TRIP002,06-02-2024 07:34,25,0.432,-2.281,9.517,5.1,18.46246,73.86406
ACC0058,TRIP002,06-02-2024 07:34,50,0.866,0.162,9.606,13.1,18.54367,73.86603
ACC0059,TRIP002,06-02-2024 07:35,75,0.479,0.528,9.719,19.8,18.56396,73.81619
ACC0060,TRIP002,06-02-2024 07:35,100,1.326,0.303,9.357,20.6,18.55915,73.84257
ACC0061,TRIP002,06-02-2024 07:36,125,1.241,-0.219,9.54,26.1,18.54022,73.88151
ACC0062,TRIP002,06-02-2024 07:36,150,0.519,0.396,9.648,26.1,18.52621,73.86759
ACC0063,TRIP002,06-02-2024 07:36,175,0.733,0.218,9.538,26.1,18.51957,73.86663
ACC0064,TRIP002,06-02-2024 07:37,200,0.086,0.369,9.914,26.1,18.638,73.83821
ACC0065,TRIP002,06-02-2024 07:37,225,4.6,0.059,9.75,26.1,18.58421,73.8525
ACC0066,TRIP002,06-02-2024 07:38,250,-5.352,0.358,9.556,26.1,18.56822,73.83917
ACC0067,TRIP002,06-02-2024 07:38,275,0.362,0.493,9.531,26.1,18.53274,73.88758
ACC0068,TRIP002,06-02-2024 07:39,300,-0.086,2.533,9.551,26.1,18.55062,73.92272
ACC0069,TRIP002,06-02-2024 07:39,325,0.763,0.699,10.263,26.1,18.48489,73.827
ACC0070,TRIP002,06-02-2024 07:39,350,-0.247,0.08,9.457,26.1,18.52453,73.882
ACC0071,TRIP002,06-02-2024 07:40,375,0.762,0.051,10.124,22.2,18.42896,73.80796
ACC0072,TRIP002,06-02-2024 07:40,400,0.41,0.151,9.606,10.5,18.54967,73.89453
ACC0073,TRIP002,06-02-2024 07:41,425,-0.199,0.215,12.155,14.7,18.52306,73.8476
ACC0074,TRIP002,06-02-2024 07:41,450,0.076,0.129,9.718,15.3,18.57654,73.84378
ACC0075,TRIP002,06-02-2024 07:41,475,0.663,0.444,9.613,17.2,18.57162,73.92322
ACC0076,TRIP002,06-02-2024 07:42,500,-0.12,0.206,9.702,26.1,18.49031,73.7845
ACC0077,TRIP002,06-02-2024 07:42,525,-0.061,0.234,9.541,20,18.53463,73.86646
ACC0078,TRIP002,06-02-2024 07:43,550,3.546,0.311,9.797,22.6,18.6022,73.81288
ACC0079,TRIP002,06-02-2024 07:43,575,0.377,0.164,9.519,14.1,18.58466,73.81889
ACC0080,TRIP002,06-02-2024 07:44,600,0.966,0.397,9.576,12.3,18.4861,73.8566
ACC0081,TRIP002,06-02-2024 07:44,625,-0.222,0.166,9.835,25.6,18.57516,73.80035
ACC0082,TRIP002,06-02-2024 07:44,650,0.548,0.634,9.81,21.3,18.48437,73.86652
ACC0083,TRIP002,06-02-2024 07:45,675,0.687,0.516,9.822,18.5,18.43143,73.83698
ACC0084,TRIP002,06-02-2024 07:45,700,-0.254,0.453,9.882,21.7,18.3707,73.79598
ACC0085,TRIP002,06-02-2024 07:46,725,0.072,-0.594,9.947,26.1,18.57927,73.87388
ACC0086,TRIP002,06-02-2024 07:46,750,0.618,0.479,10.155,22,18.44515,73.8825
ACC0087,TRIP002,06-02-2024 07:46,775,-6.305,0.029,9.933,25.5,18.48681,73.83494
ACC0088,TRIP002,06-02-2024 07:47,800,0.106,-0.156,9.147,18,18.54291,73.83578
ACC0089,TRIP002,06-02-2024 07:47,825,0.408,0.716,9.752,26.1,18.53855,73.92902
ACC0090,TRIP002,06-02-2024 07:48,850,0.698,0.347,9.642,19.9,18.63644,73.8472
