audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD0001,TRIP001,06-02-2024 06:28,0,71,loud,0
AUD0002,TRIP001,06-02-2024 06:28,52,55,quiet,0
AUD0003,TRIP001,06-02-2024 06:29,104,45,quiet,0
AUD0004,TRIP001,06-02-2024 06:30,156,69,conversation,0
AUD0005,TRIP001,06-02-2024 06:31,208,45,quiet,0
AUD0006,TRIP001,06-02-2024 06:32,260,67,normal,0
AUD0007,TRIP001,06-02-2024 06:33,312,54,quiet,0
AUD0008,TRIP001,06-02-2024 06:34,364,81,loud,0
AUD0009,TRIP001,06-02-2024 06:34,416,71,conversation,0
AUD0010,TRIP001,06-02-2024 06:35,468,61,normal,0
AUD0011,TRIP001,06-02-2024 06:36,520,54,quiet,0
AUD0012,TRIP001,06-02-2024 06:37,572,69,conversation,0
AUD0013,TRIP001,06-02-2024 06:38,624,56,quiet,0
AUD0014,TRIP001,06-02-2024 06:39,676,60,normal,0
AUD0015,TRIP001,06-02-2024 06:40,728,56,quiet,0
AUD0016,TRIP001,06-02-2024 06:41,780,48,quiet,0
AUD0017,TRIP001,06-02-2024 06:41,832,58,normal,0
AUD0018,TRIP001,06-02-2024 06:42,884,47,quiet,0
AUD0019,TRIP001,06-02-2024 06:43,936,62,normal,0
AUD0020,TRIP001,06-02-2024 06:44,988,54,quiet,0
AUD0021,TRIP001,06-02-2024 06:45,1040,49,quiet,0
AUD0022,TRIP001,06-02-2024 06:46,1092,48,quiet,0
AUD0023,TRIP001,06-02-2024 06:47,1144,72,conversation,0
AUD0024,TRIP001,06-02-2024 06:47,1196,45,quiet,0
AUD0025,TRIP001,06-02-2024 06:48,1248,58,normal,0
AUD0026,TRIP001,06-02-2024 06:49,1300,45,quiet,0
AUD0027,TRIP001,06-02-2024 06:50,1352,59,normal,0
AUD0028,TRIP001,06-02-2024 06:51,1404,51,quiet,0
AUD0029,TRIP001,06-02-2024 06:52,1456,55,quiet,0
AUD0030,TRIP001,06-02-2024 06:53,1508,50,quiet,0
AUD0031,TRIP001,06-02-2024 06:54,1560,45,quiet,0
AUD0032,TRIP001,06-02-2024 06:54,1612,58,normal,0
