log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL0001,DRV001,06-02-2024,06-02-2024 07:02,485,0.65,746.15,257.85,488.3,1,ahead
VEL0002,DRV001,06-02-2024,06-02-2024 08:34,1064,2.18,487.33,257.85,229.48,2,ahead
VEL0003,DRV001,06-02-2024,06-02-2024 09:25,1451,3.03,478.35,257.85,220.5,3,ahead
VEL0004,DRV001,06-02-2024,06-02-2024 10:24,1619,4.02,403.07,257.85,145.22,4,ahead
VEL0005,DRV001,06-02-2024,06-02-2024 11:22,1777,4.98,356.59,257.85,98.74,5,ahead
VEL0006,DRV002,06-02-2024,06-02-2024 13:12,569,0.83,682.8,191.07,491.73,1,ahead
VEL0007,DRV002,06-02-2024,06-02-2024 13:58,790,1.6,493.75,191.07,302.68,2,ahead
VEL0008,DRV003,06-02-2024,06-02-2024 07:01,782,0.93,837.86,158.55,679.31,1,ahead
VEL0009,DRV003,06-02-2024,06-02-2024 08:27,1343,2.37,567.46,158.55,408.91,2,ahead
VEL0010,DRV004,06-02-2024,06-02-2024 06:27,174,0.1,1740,200.41,1539.59,1,ahead
VEL0011,DRV004,06-02-2024,06-02-2024 07:46,857,1.4,612.14,200.41,411.73,2,ahead
VEL0012,DRV004,06-02-2024,06-02-2024 08:58,1412,2.6,543.08,200.41,342.67,3,ahead
VEL0013,DRV005,06-02-2024,06-02-2024 07:03,499,0.95,525.26,214.52,310.74,1,ahead
VEL0014,DRV005,06-02-2024,06-02-2024 08:15,1036,2.15,481.86,214.52,267.34,2,ahead
VEL0015,DRV005,06-02-2024,06-02-2024 09:00,1240,2.9,427.59,214.52,213.07,3,ahead
VEL0016,DRV005,06-02-2024,06-02-2024 10:00,1564,3.9,401.03,214.52,186.51,4,ahead
VEL0017,DRV006,06-02-2024,06-02-2024 06:48,259,0.77,337.83,230.5,107.33,1,ahead
VEL0018,DRV006,06-02-2024,06-02-2024 08:01,948,1.98,477.98,230.5,247.48,2,ahead
VEL0019,DRV006,06-02-2024,06-02-2024 08:46,1287,2.73,470.85,230.5,240.35,3,ahead
VEL0020,DRV006,06-02-2024,06-02-2024 09:38,1745,3.6,484.72,230.5,254.22,4,ahead
VEL0021,DRV007,06-02-2024,06-02-2024 07:27,800,1.42,564.71,185.31,379.4,1,ahead
VEL0022,DRV007,06-02-2024,06-02-2024 08:44,1233,2.7,456.67,185.31,271.36,2,ahead
VEL0023,DRV008,06-02-2024,06-02-2024 18:03,432,0.72,602.79,161.43,441.36,1,ahead
VEL0024,DRV008,06-02-2024,06-02-2024 19:19,1153,1.98,581.34,161.43,419.91,2,ahead
VEL0025,DRV009,06-02-2024,06-02-2024 06:36,484,0.35,1382.86,197.86,1185,1,ahead
VEL0026,DRV009,06-02-2024,06-02-2024 07:30,972,1.25,777.6,197.86,579.74,2,ahead
VEL0027,DRV009,06-02-2024,06-02-2024 08:31,1199,2.27,528.97,197.86,331.11,3,ahead
VEL0028,DRV009,06-02-2024,06-02-2024 09:14,1389,2.98,465.59,197.86,267.73,4,ahead
