flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG0001,TRIP001,DRV001,06-02-2024 06:28,0,swerve,low,0.394,0,0.177,swerve detected. Combined score 0.177.,Motion: swerve | Audio: normal
FLAG0002,TRIP001,DRV001,06-02-2024 06:31,228,swerve,low,0.63,0,0.284,moderate brake detected. Combined score 0.284.,Motion: swerve | Audio: normal
FLAG0003,TRIP001,DRV001,06-02-2024 06:45,1064,harsh_braking,low,0.594,0,0.267,harsh braking detected. Combined score 0.267.,Motion: harsh_braking | Audio: normal
FLAG0004,TRIP001,DRV001,06-02-2024 06:53,1520,harsh_braking,low,0.546,0,0.246,harsh braking detected. Combined score 0.246.,Motion: harsh_braking | Audio: normal
FLAG0005,TRIP001,DRV001,06-02-2024 07:00,1976,harsh_braking,low,0.696,0,0.313,harsh braking detected. Combined score 0.313.,Motion: harsh_braking | Audio: normal
FLAG0006,TRIP002,DRV001,06-02-2024 07:34,25,swerve,low,0.156,0,0.07,swerve detected. Combined score 0.07.,Motion: swerve | Audio: normal
FLAG0007,TRIP002,DRV001,06-02-2024 07:37,225,harsh_braking,low,0.77,0,0.347,harsh accel detected. Combined score 0.347.,Motion: harsh_braking | Audio: normal
FLAG0008,TRIP002,DRV001,06-02-2024 07:41,425,pothole,low,0.1,0,0.045,pothole detected. Combined score 0.045.,Motion: pothole | Audio: normal
FLAG0009,TRIP002,DRV001,06-02-2024 07:43,550,harsh_accel,low,0.409,0,0.184,harsh accel detected. Combined score 0.184.,Motion: harsh_accel | Audio: normal
FLAG0010,TRIP002,DRV001,06-02-2024 07:46,775,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0011,TRIP002,DRV001,06-02-2024 07:49,900,harsh_braking,low,0.838,0,0.377,harsh accel detected. Combined score 0.377.,Motion: harsh_braking | Audio: normal
FLAG0012,TRIP002,DRV001,06-02-2024 07:56,1350,harsh_braking,medium,0.95,0,0.427,swerve detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0013,TRIP002,DRV001,06-02-2024 07:59,1550,harsh_braking,low,0.754,0,0.339,moderate brake detected. Combined score 0.339.,Motion: harsh_braking | Audio: normal
FLAG0014,TRIP002,DRV001,06-02-2024 08:10,2200,harsh_braking,medium,0.95,0,0.427,swerve detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0015,TRIP002,DRV001,06-02-2024 08:18,2675,swerve,low,0.771,0,0.347,swerve detected. Combined score 0.347.,Motion: swerve | Audio: normal
FLAG0016,TRIP002,DRV001,06-02-2024 08:22,2900,swerve,low,0.294,0,0.132,swerve detected. Combined score 0.132.,Motion: swerve | Audio: normal
FLAG0017,TRIP002,DRV001,06-02-2024 08:30,3400,swerve,low,0.726,0,0.327,swerve detected. Combined score 0.327.,Motion: swerve | Audio: normal
FLAG0018,TRIP003,DRV001,06-02-2024 08:53,0,swerve,low,0.21,0,0.095,swerve detected. Combined score 0.095.,Motion: swerve | Audio: normal
FLAG0019,TRIP003,DRV001,06-02-2024 08:58,312,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0020,TRIP003,DRV001,06-02-2024 09:01,528,harsh_braking,medium,0.95,0,0.427,harsh accel detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0021,TRIP003,DRV001,06-02-2024 09:05,720,conflict_moment,high,0.804,0.95,1,"moderate brake detected. elevated cabin audio (97 dB, 60s sustained). Combined score 1.0.",Motion: conflict_moment | Audio: conflict
FLAG0022,TRIP003,DRV001,06-02-2024 09:20,1632,harsh_accel,low,0.689,0,0.31,harsh accel detected. Combined score 0.31.,Motion: harsh_accel | Audio: normal
FLAG0023,TRIP003,DRV001,06-02-2024 09:24,1872,swerve,low,0.625,0,0.281,swerve detected. Combined score 0.281.,Motion: swerve | Audio: normal
FLAG0024,TRIP004,DRV001,06-02-2024 09:57,93,harsh_braking,medium,0.861,0,0.387,harsh braking detected. Combined score 0.387.,Motion: harsh_braking | Audio: normal
FLAG0025,TRIP004,DRV001,06-02-2024 10:00,248,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0026,TRIP004,DRV001,06-02-2024 10:08,775,harsh_accel,low,0.465,0,0.209,harsh accel detected. Combined score 0.209.,Motion: harsh_accel | Audio: normal
FLAG0027,TRIP004,DRV001,06-02-2024 10:15,1147,harsh_braking,low,0.633,0,0.285,harsh braking detected. Combined score 0.285.,Motion: harsh_braking | Audio: normal
FLAG0028,TRIP004,DRV001,06-02-2024 10:18,1364,swerve,low,0.472,0,0.212,swerve detected. Combined score 0.212.,Motion: swerve | Audio: normal
FLAG0029,TRIP004,DRV001,06-02-2024 10:23,1674,pothole,low,0.1,0,0.045,pothole detected. Combined score 0.045.,Motion: pothole | Audio: normal
FLAG0030,TRIP005,DRV001,06-02-2024 11:02,240,harsh_accel,low,0.655,0,0.295,pothole detected. Combined score 0.295.,Motion: harsh_accel | Audio: normal
FLAG0031,TRIP005,DRV001,06-02-2024 11:10,720,swerve,low,0.504,0,0.227,swerve detected. Combined score 0.227.,Motion: swerve | Audio: normal
FLAG0032,TRIP005,DRV001,06-02-2024 11:12,880,harsh_braking,low,0.708,0,0.319,swerve detected. Combined score 0.319.,Motion: harsh_braking | Audio: normal
FLAG0033,TRIP006,DRV002,06-02-2024 12:19,152,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0034,TRIP006,DRV002,06-02-2024 12:26,570,swerve,low,0.414,0,0.186,swerve detected. Combined score 0.186.,Motion: swerve | Audio: normal
